team,winner,winner_pct,winner_tier,fifa_rank_pre_tournament,rank_tier,fifa_points_pre_tournament,continent,prediction_summary,team_display
"Ecuador",0.001,0.1,long_shot,23,average,1594.78,"South America","Ecuador: 0.1% win (Rank #23)","Ecuador ⚽"
"Austria",0.001,0.1,long_shot,24,average,1593.45,"Europe","Austria: 0.1% win (Rank #24)","Austria 🇦🇹"
"South Korea",0.001,0.1,long_shot,25,average,1588.66,"Asia","South Korea: 0.1% win (Rank #25)","South Korea 🇰🇷"
"Australia",0.001,0.1,long_shot,27,average,1580.67,"Oceania","Australia: 0.1% win (Rank #27)","Australia 🇦🇺"
"Algeria",0.001,0.1,long_shot,28,average,1564.26,"Africa","Algeria: 0.1% win (Rank #28)","Algeria 🇩🇿"
"Egypt",0.001,0.1,long_shot,29,average,1563.24,"Africa","Egypt: 0.1% win (Rank #29)","Egypt ⚽"
"Canada",0.001,0.1,long_shot,30,average,1556.48,"North America","Canada: 0.1% win (Rank #30)","Canada 🇨🇦"
"Norway",0.001,0.1,long_shot,31,underdog,1550.94,"Europe","Norway: 0.1% win (Rank #31)","Norway ⚽"
"Panama",0.001,0.1,long_shot,33,underdog,1549.64,"North America","Panama: 0.1% win (Rank #33)","Panama ⚽"
"Ivory Coast",0.001,0.1,long_shot,34,underdog,1532.98,"Africa","Ivory Coast: 0.1% win (Rank #34)","Ivory Coast ⚽"
"Sweden",0.001,0.1,long_shot,38,underdog,1514.77,"Europe","Sweden: 0.1% win (Rank #38)","Sweden ⚽"
"Paraguay",0.001,0.1,long_shot,40,underdog,1503.5,"South America","Paraguay: 0.1% win (Rank #40)","Paraguay 🇵🇾"
"Czech Republic",0.001,0.1,long_shot,41,underdog,1501.38,"Europe","Czech Republic: 0.1% win (Rank #41)","Czech Republic ⚽"
"Scotland",0.001,0.1,long_shot,43,underdog,1498.35,"Europe","Scotland: 0.1% win (Rank #43)","Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿"
"Tunisia",0.001,0.1,long_shot,44,underdog,1483.05,"Africa","Tunisia: 0.1% win (Rank #44)","Tunisia ⚽"
"DR Congo",0.001,0.1,long_shot,46,underdog,1478.35,"Africa","DR Congo: 0.1% win (Rank #46)","DR Congo ⚽"
"Uzbekistan",0.001,0.1,long_shot,50,underdog,1465.34,"Asia","Uzbekistan: 0.1% win (Rank #50)","Uzbekistan ⚽"
"Qatar",0.001,0.1,long_shot,55,underdog,1454.96,"Asia","Qatar: 0.1% win (Rank #55)","Qatar 🇶🇦"
"Iraq",0.001,0.1,long_shot,57,underdog,1447.14,"Asia","Iraq: 0.1% win (Rank #57)","Iraq ⚽"
"South Africa",0.001,0.1,long_shot,60,underdog,1429.73,"Africa","South Africa: 0.1% win (Rank #60)","South Africa ⚽"
"Saudi Arabia",0.001,0.1,long_shot,61,underdog,1421.43,"Asia","Saudi Arabia: 0.1% win (Rank #61)","Saudi Arabia ⚽"
"Jordan",0.001,0.1,long_shot,63,underdog,1391.45,"Asia","Jordan: 0.1% win (Rank #63)","Jordan 🇯🇴"
"Bosnia and Herzegovina",0.001,0.1,long_shot,65,underdog,1385.84,"Europe","Bosnia and Herzegovina: 0.1% win (Rank #65)","Bosnia and Herzegovina ⚽"
"Cape Verde",0.001,0.1,long_shot,69,underdog,1366.13,"Africa","Cape Verde: 0.1% win (Rank #69)","Cape Verde ⚽"
"Ghana",0.001,0.1,long_shot,74,underdog,1346.31,"Africa","Ghana: 0.1% win (Rank #74)","Ghana ⚽"
"Cura?o",0.001,0.1,long_shot,82,underdog,1294.65,"North America","Cura?o: 0.1% win (Rank #82)","Cura?o ⚽"
"Haiti",0.001,0.1,long_shot,83,underdog,1291.71,"North America","Haiti: 0.1% win (Rank #83)","Haiti 🇭🇹"
"New Zealand",0.001,0.1,long_shot,85,underdog,1281.57,"Oceania","New Zealand: 0.1% win (Rank #85)","New Zealand ⚽"
