match_id,date,date_int,kickoff_at,team_1,team_2,teams_combined,stage,stadium_id,stadium_name,city,stadium_capacity,stadium_location,month,month_num,day,avg_temp_f,temp_category,weather_conditions,precipitation_chance,rain_risk,match_display,venue_display,weather_display,status,score,winner,summary
M_11,2026-06-14T00:00:00Z,20260614,19:00:00-04,Côte d'Ivoire,Ecuador,Côte d'Ivoire|Ecuador,Group Stage,S_9,Lincoln Financial Field,Philadelphia,69796,POINT(-75.1675 39.9012),June,6,14,81,warm,"Warm, Clear Skies",29,low,Côte d'Ivoire vs Ecuador - Group Stage,Lincoln Financial Field Philadelphia,"81°F Warm, Clear Skies (29% rain)",completed,1-0,Côte d'Ivoire,Côte d'Ivoire secured a decisive victory over Ecuador with a final score of 1-0.
M_12,2026-06-14T00:00:00Z,20260614,22:00:00-06,Sweden,Tunisia,Sweden|Tunisia,Group Stage,S_16,Estadio BBVA,Monterrey,53500,POINT(-100.2444 25.67),June,6,14,93,hot,"Very Hot, Sunny",25,low,Sweden vs Tunisia - Group Stage,Estadio BBVA Monterrey,"93°F Very Hot, Sunny (25% rain)",completed,5-1,Sweden,Sweden secured a decisive victory over Tunisia with a final score of 5-1.
M_13,2026-06-15T00:00:00Z,20260615,12:00:00-04,Spain,Cabo Verde,Spain|Cabo Verde,Group Stage,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),June,6,15,85,warm,Warm and Humid,41,medium,Spain vs Cabo Verde - Group Stage,Mercedes-Benz Stadium Atlanta,85°F Warm and Humid (41% rain),completed,0-0,Draw,A hard-fought draw ending 0-0 between Spain and Cabo Verde.
M_14,2026-06-15T00:00:00Z,20260615,15:00:00-07,Belgium,Egypt,Belgium|Egypt,Group Stage,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),June,6,15,65,mild,"Pleasant, Partly Cloudy",22,low,Belgium vs Egypt - Group Stage,Lumen Field Seattle,"65°F Pleasant, Partly Cloudy (22% rain)",completed,1-1,Draw,A hard-fought draw ending 1-1 between Belgium and Egypt.
M_15,2026-06-15T00:00:00Z,20260615,18:00:00-04,Saudi Arabia,Uruguay,Saudi Arabia|Uruguay,Group Stage,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),June,6,15,84,warm,"Tropical Humid, Rain Risks",38,medium,Saudi Arabia vs Uruguay - Group Stage,Hard Rock Stadium Miami,"84°F Tropical Humid, Rain Risks (38% rain)",completed,1-1,Draw,A hard-fought draw ending 1-1 between Saudi Arabia and Uruguay.
M_16,2026-06-15T00:00:00Z,20260615,21:00:00-07,IR Iran,New Zealand,IR Iran|New Zealand,Group Stage,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),June,6,15,71,mild,Clear and Sunny,0,low,IR Iran vs New Zealand - Group Stage,SoFi Stadium Los Angeles,71°F Clear and Sunny (0% rain),completed,2-2,Draw,A hard-fought draw ending 2-2 between IR Iran and New Zealand.
M_17,2026-06-16T00:00:00Z,20260616,15:00:00-04,France,Senegal,France|Senegal,Group Stage,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),June,6,16,79,mild,Sunny and Warm,20,low,France vs Senegal - Group Stage,MetLife Stadium New York/New Jersey,79°F Sunny and Warm (20% rain),completed,3-1,France,France secured a decisive victory over Senegal with a final score of 3-1.
M_18,2026-06-16T00:00:00Z,20260616,18:00:00-04,Iraq,Norway,Iraq|Norway,Group Stage,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,16,73,mild,Sunny and Mild,16,low,Iraq vs Norway - Group Stage,Gillette Stadium Boston,73°F Sunny and Mild (16% rain),completed,1-4,Norway,Norway secured a decisive victory over Iraq with a final score of 1-4.
M_19,2026-06-16T00:00:00Z,20260616,21:00:00-05,Argentina,Algeria,Argentina|Algeria,Group Stage,S_5,Arrowhead Stadium,Kansas City,76416,POINT(-94.4839 39.0489),June,6,16,82,warm,Partly Cloudy,22,low,Argentina vs Algeria - Group Stage,Arrowhead Stadium Kansas City,82°F Partly Cloudy (22% rain),completed,3-0,Argentina,Argentina secured a decisive victory over Algeria with a final score of 3-0.
M_20,2026-06-17T00:00:00Z,20260617,00:00:00-07,Austria,Jordan,Austria|Jordan,Group Stage,S_10,Levi's Stadium,San Francisco Bay Area,68500,POINT(-121.9698 37.4032),June,6,17,73,mild,Mild and Sunny,3,low,Austria vs Jordan - Group Stage,Levi's Stadium San Francisco Bay Area,73°F Mild and Sunny (3% rain),completed,3-1,Austria,Austria secured a decisive victory over Jordan with a final score of 3-1.
M_21,2026-06-17T00:00:00Z,20260617,13:00:00-05,Portugal,DR Congo,Portugal|DR Congo,Group Stage,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),June,6,17,86,warm,"Humid, Afternoon Breezes",29,low,Portugal vs DR Congo - Group Stage,NRG Stadium Houston,"86°F Humid, Afternoon Breezes (29% rain)",completed,1-1,Draw,A hard-fought draw ending 1-1 between Portugal and DR Congo.
M_22,2026-06-17T00:00:00Z,20260617,16:00:00-05,England,Croatia,England|Croatia,Group Stage,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),June,6,17,90,hot,Hot and Sunny,15,low,England vs Croatia - Group Stage,AT&T Stadium Dallas,90°F Hot and Sunny (15% rain),completed,4-2,England,England secured a decisive victory over Croatia with a final score of 4-2.
M_23,2026-06-17T00:00:00Z,20260617,19:00:00-04,Ghana,Panama,Ghana|Panama,Group Stage,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),June,6,17,72,mild,Sunny and Mild,21,low,Ghana vs Panama - Group Stage,BMO Field Toronto,72°F Sunny and Mild (21% rain),completed,1-0,Ghana,Ghana secured a decisive victory over Panama with a final score of 1-0.
M_24,2026-06-17T00:00:00Z,20260617,22:00:00-06,Uzbekistan,Colombia,Uzbekistan|Colombia,Group Stage,S_15,Estadio Azteca,Mexico City,87523,POINT(-99.1505 19.3029),June,6,17,72,mild,"Mild, Cloudy and Rainy",52,medium,Uzbekistan vs Colombia - Group Stage,Estadio Azteca Mexico City,"72°F Mild, Cloudy and Rainy (52% rain)",completed,1-3,Colombia,Colombia secured a decisive victory over Uzbekistan with a final score of 1-3.
M_25,2026-06-18T00:00:00Z,20260618,12:00:00-04,Czechia,South Africa,Czechia|South Africa,Group Stage,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),June,6,18,83,warm,Warm and Humid,38,medium,Czechia vs South Africa - Group Stage,Mercedes-Benz Stadium Atlanta,83°F Warm and Humid (38% rain),completed,1-1,Draw,A hard-fought draw ending 1-1 between Czechia and South Africa.
M_26,2026-06-18T00:00:00Z,20260618,15:00:00-07,Switzerland,BiH,Switzerland|BiH,Group Stage,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),June,6,18,74,mild,Clear and Sunny,4,low,Switzerland vs BiH - Group Stage,SoFi Stadium Los Angeles,74°F Clear and Sunny (4% rain),completed,4-1,Switzerland,Switzerland secured a decisive victory over BiH with a final score of 4-1.
M_27,2026-06-18T00:00:00Z,20260618,18:00:00-07,Canada,Qatar,Canada|Qatar,Group Stage,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),June,6,18,70,mild,"Mild, Overcast Intervals",25,low,Canada vs Qatar - Group Stage,BC Place Vancouver,"70°F Mild, Overcast Intervals (25% rain)",completed,6-0,Canada,Canada secured a decisive victory over Qatar with a final score of 6-0.
M_28,2026-06-18T00:00:00Z,20260618,21:00:00-06,Mexico,South Korea,Mexico|South Korea,Group Stage,S_14,Estadio Akron,Guadalajara,48071,POINT(-103.4628 20.6817),June,6,18,79,mild,"Warm, Evening Showers",51,medium,Mexico vs South Korea - Group Stage,Estadio Akron Guadalajara,"79°F Warm, Evening Showers (51% rain)",completed,1-0,Mexico,Mexico secured a decisive victory over South Korea with a final score of 1-0.
M_29,2026-06-19T00:00:00Z,20260619,15:00:00-07,USA,Australia,USA|Australia,Group Stage,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),June,6,19,66,mild,"Pleasant, Partly Cloudy",22,low,USA vs Australia - Group Stage,Lumen Field Seattle,"66°F Pleasant, Partly Cloudy (22% rain)",completed,2-0,USA,USA secured a decisive victory over Australia with a final score of 2-0.
M_30,2026-06-19T00:00:00Z,20260619,18:00:00-04,Scotland,Morocco,Scotland|Morocco,Group Stage,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,19,71,mild,Sunny and Mild,13,low,Scotland vs Morocco - Group Stage,Gillette Stadium Boston,71°F Sunny and Mild (13% rain),completed,0-1,Morocco,Morocco secured a decisive victory over Scotland with a final score of 0-1.
M_31,2026-06-19T00:00:00Z,20260619,21:00:00-04,Brazil,Haiti,Brazil|Haiti,Group Stage,S_9,Lincoln Financial Field,Philadelphia,69796,POINT(-75.1675 39.9012),June,6,19,80,warm,"Warm, Clear Skies",19,low,Brazil vs Haiti - Group Stage,Lincoln Financial Field Philadelphia,"80°F Warm, Clear Skies (19% rain)",completed,3-0,Brazil,Brazil secured a decisive victory over Haiti with a final score of 3-0.
M_32,2026-06-20T00:00:00Z,20260620,00:00:00-07,Türkiye,Paraguay,Türkiye|Paraguay,Group Stage,S_10,Levi's Stadium,San Francisco Bay Area,68500,POINT(-121.9698 37.4032),June,6,20,71,mild,Mild and Sunny,0,low,Türkiye vs Paraguay - Group Stage,Levi's Stadium San Francisco Bay Area,71°F Mild and Sunny (0% rain),completed,0-1,Paraguay,Paraguay secured a decisive victory over Türkiye with a final score of 0-1.
M_33,2026-06-20T00:00:00Z,20260620,13:00:00-05,Netherlands,Sweden,Netherlands|Sweden,Group Stage,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),June,6,20,91,hot,"Humid, Afternoon Breezes",26,low,Netherlands vs Sweden - Group Stage,NRG Stadium Houston,"91°F Humid, Afternoon Breezes (26% rain)",completed,5-1,Netherlands,Netherlands secured a decisive victory over Sweden with a final score of 5-1.
M_34,2026-06-20T00:00:00Z,20260620,16:00:00-04,Germany,Côte d'Ivoire,Germany|Côte d'Ivoire,Group Stage,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),June,6,20,76,mild,Sunny and Mild,17,low,Germany vs Côte d'Ivoire - Group Stage,BMO Field Toronto,76°F Sunny and Mild (17% rain),completed,2-1,Germany,Germany secured a victory over Côte d'Ivoire with a final score of 2-1.
M_35,2026-06-20T00:00:00Z,20260620,20:00:00-05,Ecuador,Curaçao,Ecuador|Curaçao,Group Stage,S_5,Arrowhead Stadium,Kansas City,76416,POINT(-94.4839 39.0489),June,6,20,77,mild,Partly Cloudy,23,low,Ecuador vs Curaçao - Group Stage,Arrowhead Stadium Kansas City,77°F Partly Cloudy (23% rain),completed,0-0,Draw,Ecuador and Curaçao played to a scoreless draw.
M_36,2026-06-21T00:00:00Z,20260621,00:00:00-06,Tunisia,Japan,Tunisia|Japan,Group Stage,S_16,Estadio BBVA,Monterrey,53500,POINT(-100.2444 25.67),June,6,21,89,warm,"Very Hot, Sunny",19,low,Tunisia vs Japan - Group Stage,Estadio BBVA Monterrey,"89°F Very Hot, Sunny (19% rain)",completed,0-4,Japan,Japan secured a decisive victory over Tunisia with a final score of 0-4.
M_37,2026-06-21T00:00:00Z,20260621,12:00:00-04,Spain,Saudi Arabia,Spain|Saudi Arabia,Group Stage,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),June,6,21,81,warm,Warm and Humid,35,medium,Spain vs Saudi Arabia - Group Stage,Mercedes-Benz Stadium Atlanta,81°F Warm and Humid (35% rain),completed,4-0,Spain,Spain secured a decisive victory over Saudi Arabia with a final score of 4-0.
M_38,2026-06-21T00:00:00Z,20260621,15:00:00-07,Belgium,IR Iran,Belgium|IR Iran,Group Stage,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),June,6,21,72,mild,Clear and Sunny,1,low,Belgium vs IR Iran - Group Stage,SoFi Stadium Los Angeles,72°F Clear and Sunny (1% rain),completed,0-0,Draw,Belgium and IR Iran played to a scoreless draw.
M_39,2026-06-21T00:00:00Z,20260621,18:00:00-04,Uruguay,Cabo Verde,Uruguay|Cabo Verde,Group Stage,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),June,6,21,87,warm,"Tropical Humid, Rain Risks",47,medium,Uruguay vs Cabo Verde - Group Stage,Hard Rock Stadium Miami,"87°F Tropical Humid, Rain Risks (47% rain)",completed,2-2,Draw,A hard-fought draw ending 2-2 between Uruguay and Cabo Verde.
M_40,2026-06-21T00:00:00Z,20260621,21:00:00-07,New Zealand,Egypt,New Zealand|Egypt,Group Stage,S_13,BC Place,Vancouver,52497,POINT(-123.112 49.2768),June,6,21,69,mild,"Mild, Overcast Intervals",23,low,New Zealand vs Egypt - Group Stage,BC Place Vancouver,"69°F Mild, Overcast Intervals (23% rain)",completed,1-3,Egypt,Egypt secured a decisive victory over New Zealand with a final score of 1-3.
M_41,2026-06-22T00:00:00Z,20260622,13:00:00-05,Argentina,Austria,Argentina|Austria,Group Stage,S_3,AT&T Stadium,Dallas,70649,POINT(-97.0945 32.7473),June,6,22,95,hot,Hot and Sunny,19,low,Argentina vs Austria - Group Stage,AT&T Stadium Dallas,95°F Hot and Sunny (19% rain),completed,2-0,Argentina,Argentina secured a victory over Austria with a final score of 2-0.
M_42,2026-06-22T00:00:00Z,20260622,17:00:00-04,France,Iraq,France|Iraq,Group Stage,S_9,Lincoln Financial Field,Philadelphia,68324,POINT(-75.1675 39.9012),June,6,22,77,mild,"Warm, Clear Skies",30,medium,France vs Iraq - Group Stage,Lincoln Financial Field Philadelphia,"77°F Warm, Clear Skies (30% rain)",completed,3-0,France,France secured a decisive victory over Iraq with a final score of 3-0.
M_43,2026-06-22T00:00:00Z,20260622,20:00:00-04,Norway,Senegal,Norway|Senegal,Group Stage,S_8,MetLife Stadium,New York/New Jersey,80663,POINT(-74.0742 40.8128),June,6,22,77,mild,Sunny and Warm,31,medium,Norway vs Senegal - Group Stage,MetLife Stadium New York/New Jersey,77°F Sunny and Warm (31% rain),completed,3-2,Norway,Norway secured a victory over Senegal with a final score of 3-2.
M_44,2026-06-22T00:00:00Z,20260622,23:00:00-07,Jordan,Algeria,Jordan|Algeria,Group Stage,S_10,Levi's Stadium,San Francisco Bay Area,68371,POINT(-121.9698 37.4032),June,6,22,69,mild,Mild and Sunny,12,low,Jordan vs Algeria - Group Stage,Levi's Stadium San Francisco Bay Area,69°F Mild and Sunny (12% rain),completed,1-2,Algeria,Algeria secured a victory over Jordan with a final score of 1-2.
M_45,2026-06-23T00:00:00Z,20260623,13:00:00-05,Portugal,Uzbekistan,Portugal|Uzbekistan,Group Stage,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),June,6,23,89,warm,"Humid, Afternoon Breezes",23,low,Portugal vs Uzbekistan - Group Stage,NRG Stadium Houston,"89°F Humid, Afternoon Breezes (23% rain)",completed,5-0,Portugal,Portugal secured a decisive victory over Uzbekistan with a final score of 5-0.
M_46,2026-06-23T00:00:00Z,20260623,16:00:00-04,England,Ghana,England|Ghana,Group Stage,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,23,73,mild,Sunny and Mild,14,low,England vs Ghana - Group Stage,Gillette Stadium Boston,73°F Sunny and Mild (14% rain),completed,0-0,Draw,A hard-fought draw ending 0-0 between England and Ghana.
M_47,2026-06-23T00:00:00Z,20260623,19:00:00-04,Panama,Croatia,Panama|Croatia,Group Stage,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),June,6,23,75,mild,Sunny and Mild,15,low,Panama vs Croatia - Group Stage,BMO Field Toronto,75°F Sunny and Mild (15% rain),completed,0-1,Croatia,Croatia secured a decisive victory over Panama with a final score of 0-1.
M_48,2026-06-23T00:00:00Z,20260623,22:00:00-06,Colombia,DR Congo,Colombia|DR Congo,Group Stage,S_14,Estadio Akron,Guadalajara,48071,POINT(-103.4628 20.6817),June,6,23,85,warm,"Warm, Evening Showers",41,medium,Colombia vs DR Congo - Group Stage,Estadio Akron Guadalajara,"85°F Warm, Evening Showers (41% rain)",completed,1-0,Colombia,Colombia secured a decisive victory over DR Congo with a final score of 1-0.
M_49,2026-06-24T00:00:00Z,20260624,15:00:00-07,Switzerland,Canada,Switzerland|Canada,Group Stage,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),June,6,24,64,cool,"Mild, Overcast Intervals",17,low,Switzerland vs Canada - Group Stage,BC Place Vancouver,"64°F Mild, Overcast Intervals (17% rain)",completed,2-1,Switzerland,Switzerland secured a decisive victory over Canada with a final score of 2-1.
M_50,2026-06-24T00:00:00Z,20260624,15:00:00-07,BiH,Qatar,BiH|Qatar,Group Stage,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),June,6,24,66,mild,"Pleasant, Partly Cloudy",13,low,BiH vs Qatar - Group Stage,Lumen Field Seattle,"66°F Pleasant, Partly Cloudy (13% rain)",completed,3-1,BiH,BiH secured a decisive victory over Qatar with a final score of 3-1.
M_51,2026-06-24T00:00:00Z,20260624,18:00:00-04,Scotland,Brazil,Scotland|Brazil,Group Stage,S_7,Hard Rock Stadium,Miami,65326,POINT(-80.2389 25.958),June,6,24,85,warm,"Tropical Humid, Rain Risks",44,medium,Scotland vs Brazil - Group Stage,Hard Rock Stadium Miami,"85°F Tropical Humid, Rain Risks (44% rain)",completed,0-3,Brazil,Brazil secured a decisive victory over Scotland with a final score of 0-3.
M_52,2026-06-24T00:00:00Z,20260624,18:00:00-04,Morocco,Haiti,Morocco|Haiti,Group Stage,S_1,Mercedes-Benz Stadium,Atlanta,71000,POINT(-84.4008 33.7554),June,6,24,82,warm,Warm and Humid,35,medium,Morocco vs Haiti - Group Stage,Mercedes-Benz Stadium Atlanta,82°F Warm and Humid (35% rain),completed,4-2,Morocco,Morocco secured a decisive victory over Haiti with a final score of 4-2.
M_53,2026-06-24T00:00:00Z,20260624,21:00:00-06,Czechia,Mexico,Czechia|Mexico,Group Stage,S_15,Estadio Azteca,Mexico City,87523,POINT(-99.1505 19.3029),June,6,24,73,mild,"Mild, Cloudy and Rainy",51,medium,Czechia vs Mexico - Group Stage,Estadio Azteca Mexico City,"73°F Mild, Cloudy and Rainy (51% rain)",completed,0-3,Mexico,Mexico secured a decisive victory over Czechia with a final score of 0-3.
M_54,2026-06-24T00:00:00Z,20260624,21:00:00-06,South Africa,South Korea,South Africa|South Korea,Group Stage,S_16,Estadio BBVA,Monterrey,53500,POINT(-100.2444 25.67),June,6,24,93,hot,"Very Hot, Sunny",22,low,South Africa vs South Korea - Group Stage,Estadio BBVA Monterrey,"93°F Very Hot, Sunny (22% rain)",completed,1-0,South Africa,South Africa secured a decisive victory over South Korea with a final score of 1-0.
M_55,2026-06-25T00:00:00Z,20260625,16:00:00-04,Curaçao,Côte d'Ivoire,Curaçao|Côte d'Ivoire,Group Stage,S_9,Lincoln Financial Field,Philadelphia,69796,POINT(-75.1675 39.9012),June,6,25,83,warm,"Warm, Clear Skies",28,low,Curaçao vs Côte d'Ivoire - Group Stage,Lincoln Financial Field Philadelphia,"83°F Warm, Clear Skies (28% rain)",scheduled,,,
M_56,2026-06-25T00:00:00Z,20260625,16:00:00-04,Ecuador,Germany,Ecuador|Germany,Group Stage,S_8,MetLife Stadium,New York/New Jersey,82500,POINT(-74.0742 40.8128),June,6,25,76,mild,Sunny and Warm,29,low,Ecuador vs Germany - Group Stage,MetLife Stadium New York/New Jersey,76°F Sunny and Warm (29% rain),scheduled,,,
M_57,2026-06-25T00:00:00Z,20260625,19:00:00-05,Japan,Sweden,Japan|Sweden,Group Stage,S_3,AT&T Stadium,Dallas,80000,POINT(-97.0945 32.7473),June,6,25,90,hot,Hot and Sunny,20,low,Japan vs Sweden - Group Stage,AT&T Stadium Dallas,90°F Hot and Sunny (20% rain),scheduled,,,
M_58,2026-06-25T00:00:00Z,20260625,19:00:00-05,Tunisia,Netherlands,Tunisia|Netherlands,Group Stage,S_5,Arrowhead Stadium,Kansas City,76416,POINT(-94.4839 39.0489),June,6,25,79,mild,Partly Cloudy,31,medium,Tunisia vs Netherlands - Group Stage,Arrowhead Stadium Kansas City,79°F Partly Cloudy (31% rain),scheduled,,,
M_59,2026-06-25T00:00:00Z,20260625,22:00:00-07,Türkiye,USA,Türkiye|USA,Group Stage,S_6,SoFi Stadium,Los Angeles,70240,POINT(-118.3387 33.9534),June,6,25,72,mild,Clear and Sunny,7,low,Türkiye vs USA - Group Stage,SoFi Stadium Los Angeles,72°F Clear and Sunny (7% rain),scheduled,,,
M_60,2026-06-25T00:00:00Z,20260625,22:00:00-07,Paraguay,Australia,Paraguay|Australia,Group Stage,S_10,Levi's Stadium,San Francisco Bay Area,68500,POINT(-121.9698 37.4032),June,6,25,71,mild,Mild and Sunny,0,low,Paraguay vs Australia - Group Stage,Levi's Stadium San Francisco Bay Area,71°F Mild and Sunny (0% rain),scheduled,,,
M_61,2026-06-26T00:00:00Z,20260626,15:00:00-04,Norway,France,Norway|France,Group Stage,S_2,Gillette Stadium,Boston,65878,POINT(-71.2643 42.0909),June,6,26,74,mild,Sunny and Mild,14,low,Norway vs France - Group Stage,Gillette Stadium Boston,74°F Sunny and Mild (14% rain),scheduled,,,
M_62,2026-06-26T00:00:00Z,20260626,15:00:00-04,Senegal,Iraq,Senegal|Iraq,Group Stage,S_12,BMO Field,Toronto,45000,POINT(-79.4186 43.6332),June,6,26,76,mild,Sunny and Mild,15,low,Senegal vs Iraq - Group Stage,BMO Field Toronto,76°F Sunny and Mild (15% rain),scheduled,,,
M_63,2026-06-26T00:00:00Z,20260626,20:00:00-05,Cabo Verde,Saudi Arabia,Cabo Verde|Saudi Arabia,Group Stage,S_4,NRG Stadium,Houston,72220,POINT(-95.4107 29.6847),June,6,26,86,warm,"Humid, Afternoon Breezes",26,low,Cabo Verde vs Saudi Arabia - Group Stage,NRG Stadium Houston,"86°F Humid, Afternoon Breezes (26% rain)",scheduled,,,
M_64,2026-06-26T00:00:00Z,20260626,20:00:00-06,Uruguay,Spain,Uruguay|Spain,Group Stage,S_14,Estadio Akron,Guadalajara,48071,POINT(-103.4628 20.6817),June,6,26,80,warm,"Warm, Evening Showers",42,medium,Uruguay vs Spain - Group Stage,Estadio Akron Guadalajara,"80°F Warm, Evening Showers (42% rain)",scheduled,,,
M_65,2026-06-26T00:00:00Z,20260626,23:00:00-07,Egypt,IR Iran,Egypt|IR Iran,Group Stage,S_11,Lumen Field,Seattle,69000,POINT(-122.3316 47.5952),June,6,26,67,mild,"Pleasant, Partly Cloudy",13,low,Egypt vs IR Iran - Group Stage,Lumen Field Seattle,"67°F Pleasant, Partly Cloudy (13% rain)",scheduled,,,
M_66,2026-06-26T00:00:00Z,20260626,23:00:00-07,New Zealand,Belgium,New Zealand|Belgium,Group Stage,S_13,BC Place,Vancouver,54500,POINT(-123.112 49.2768),June,6,26,67,mild,"Mild, Overcast Intervals",19,low,New Zealand vs Belgium - Group Stage,BC Place Vancouver,"67°F Mild, Overcast Intervals (19% rain)",scheduled,,,
